Booking_ID,Booking_Date,Customer_ID,Customer_Name,Age,Gender,City,Travel_Type,Origin,Destination,Departure_Date,Return_Date,Passengers,Channel,Agent,Package_Type,Base_Price,Discount,Total_Amount,Payment_Mode,Booking_Status,Rating
BKG00001,2024-04-12,CUST1860,Customer_3773,38,Male,Pune,One-way,Pune,Kerala,2024-05-21,,2,Online,Sangitam Travels,Budget,2466,1238,2456,UPI,Completed,5.0
BKG00002,2024-04-09,CUST9322,Customer_1686,19,Female,Pune,One-way,Pune,Goa,2024-05-03,,4,Online,Sangitam Travels,Budget,8949,385,34256,Card,Completed,5.0
BKG00003,2024-06-09,CUST5555,Customer_3386,39,Female,Bangalore,Package,Bangalore,Rishikesh,2024-07-23,2024-07-25,1,Offline,SaiRam Travels,Premium,10666,1082,9584,Netbanking,Completed,4.0
BKG00004,2024-07-06,CUST1189,Customer_2735,61,Female,Hyderabad,One-way,Hyderabad,Shimla,2024-08-30,,4,Offline,SaiRam Travels,Budget,3528,1154,9496,Netbanking,Cancelled,
BKG00005,2024-05-14,CUST6393,Customer_2436,42,Male,Chennai,Package,Chennai,Udaipur,2024-05-28,2024-05-31,2,Offline,SaiRam Travels,None,13016,1369,23294,UPI,Completed,4.0
BKG00006,2024-04-01,CUST6486,Customer_1479,61,Female,Mumbai,Round-trip,Mumbai,Ooty,2024-04-09,2024-04-17,3,Agent,BlueSky Travels,Premium,5152,1411,11223,UPI,Completed,2.0
BKG00007,2024-09-16,CUST8989,Customer_1501,35,Male,Bangalore,One-way,Bangalore,Kerala,2024-10-12,,4,Online,SaiRam Travels,None,2161,201,7840,Cash,Cancelled,
BKG00008,2024-09-26,CUST8629,Customer_3799,57,Female,Chennai,Round-trip,Chennai,Shimla,2024-10-17,2024-10-26,5,Offline,Sangitam Travels,Luxury,10529,878,48255,UPI,Completed,2.0
BKG00009,2024-08-04,CUST5859,Customer_380,62,Male,Bangalore,Round-trip,Bangalore,Shimla,2024-09-14,2024-09-20,5,Offline,BlueSky Travels,Premium,2064,520,7720,Cash,Completed,4.0
BKG00010,2024-05-15,CUST6258,Customer_392,52,Male,Bangalore,Round-trip,Bangalore,Goa,2024-06-19,2024-06-21,3,Offline,BlueSky Travels,Budget,7892,230,22986,Card,Completed,4.0
BKG00011,2024-05-14,CUST9392,Customer_4876,51,Female,Bangalore,Round-trip,Bangalore,Rishikesh,2024-06-16,2024-06-25,5,Agent,Wagh Tours,Premium,4731,725,20030,Cash,Cancelled,
BKG00012,2025-03-24,CUST9110,Customer_2691,18,Male,Bangalore,Package,Bangalore,Ooty,2025-03-29,2025-04-01,3,Offline,Wagh Tours,None,6488,206,18846,Cash,Completed,2.0
BKG00013,2025-01-14,CUST2484,Customer_864,56,Male,Delhi,Round-trip,Delhi,Ooty,2025-03-04,2025-03-09,5,Online,SaiRam Travels,Budget,14383,484,69495,Card,Completed,5.0
BKG00014,2024-05-22,CUST4242,Customer_4637,53,Male,Kolkata,One-way,Kolkata,Agra,2024-06-04,,3,Offline,Wagh Tours,None,13506,1109,37191,Cash,Cancelled,
BKG00015,2024-06-18,CUST3693,Customer_4892,45,Male,Mumbai,Round-trip,Mumbai,Ooty,2024-08-01,2024-08-06,4,Agent,BlueSky Travels,Budget,12173,1354,43276,Cash,Completed,4.0
BKG00016,2024-08-18,CUST8392,Customer_1307,30,Female,Delhi,One-way,Delhi,Rishikesh,2024-09-28,,3,Agent,BlueSky Travels,Premium,9526,709,26451,UPI,Completed,1.0
BKG00017,2024-11-13,CUST4748,Customer_4780,41,Female,Bangalore,Round-trip,Bangalore,Shimla,2024-11-28,2024-12-02,1,Online,SaiRam Travels,Luxury,5763,1136,4627,Netbanking,Completed,2.0
